# id:20302508,MIN WU,,,value
x1,x2,x3,x4,y
-0.69,0.6,0.4761,0.36,-1
-0.5,0.52,0.25,0.2704,1
0.91,0.72,0.8281,0.5184,-1
0.97,-0.22,0.9409,0.0484,-1
0.99,-0.38,0.9801,0.1444,-1
-0.17,0.99,0.0289,0.9801,1
-0.32,-0.78,0.1024,0.6084,-1
0.41,-0.17,0.1681,0.0289,-1
0.65,-0.13,0.4225,0.0169,-1
0.85,-0.06,0.7225,0.0036,-1
-0.13,0.26,0.0169,0.0676,1
-0.95,0.76,0.9025,0.5776,-1
0.05,0.67,0.0025,0.4489,1
0.57,0.64,0.3249,0.4096,-1
-0.18,0.62,0.0324,0.3844,1
0.68,-0.55,0.4624,0.3025,-1
0.51,0.13,0.2601,0.0169,-1
-0.29,-0.46,0.0841,0.2116,-1
-0.52,-0.82,0.2704,0.6724,-1
-0.21,-0.98,0.0441,0.9604,-1
-0.84,-0.1,0.7056,0.01,-1
0.15,-0.05,0.0225,0.0025,1
0.64,-1,0.4096,1,-1
0.85,0.57,0.7225,0.3249,-1
-0.16,-0.61,0.0256,0.3721,-1
-0.54,-0.93,0.2916,0.8649,-1
-0.93,0.59,0.8649,0.3481,-1
0.91,-0.71,0.8281,0.5041,-1
-0.43,-0.22,0.1849,0.0484,-1
-0.89,0.57,0.7921,0.3249,-1
-0.4,0.74,0.16,0.5476,1
-0.66,-0.12,0.4356,0.0144,-1
0.85,-0.49,0.7225,0.2401,-1
0.01,-0.64,0.0001,0.4096,-1
0.81,0.21,0.6561,0.0441,-1
-0.78,0.68,0.6084,0.4624,-1
0.09,0.76,0.0081,0.5776,1
0.09,0.66,0.0081,0.4356,1
0.64,-0.77,0.4096,0.5929,-1
-0.64,-0.66,0.4096,0.4356,-1
0.13,-0.06,0.0169,0.0036,-1
-0.21,0.29,0.0441,0.0841,1
0.41,0.13,0.1681,0.0169,-1
-0.97,-0.87,0.9409,0.7569,-1
-0.78,0.94,0.6084,0.8836,-1
-0.19,-0.85,0.0361,0.7225,-1
0.47,0.24,0.2209,0.0576,-1
0.71,-0.67,0.5041,0.4489,-1
-0.76,0.97,0.5776,0.9409,-1
0.56,-0.68,0.3136,0.4624,-1
-0.56,0.46,0.3136,0.2116,-1
0.05,-0.76,0.0025,0.5776,-1
-0.46,0.66,0.2116,0.4356,1
-0.45,0.7,0.2025,0.49,1
-0.07,0.92,0.0049,0.8464,1
-0.49,-0.28,0.2401,0.0784,-1
0.78,-0.81,0.6084,0.6561,-1
-0.21,0.9,0.0441,0.81,1
0.47,-0.87,0.2209,0.7569,-1
-0.63,0.7,0.3969,0.49,-1
0.62,-0.87,0.3844,0.7569,-1
0.82,0.19,0.6724,0.0361,-1
0.3,0.74,0.09,0.5476,1
0.9,-0.72,0.81,0.5184,-1
-0.37,0.21,0.1369,0.0441,1
0.3,0.73,0.09,0.5329,1
-0.88,0.5,0.7744,0.25,-1
-0.82,-0.71,0.6724,0.5041,-1
-0.42,0.76,0.1764,0.5776,1
-0.06,-0.88,0.0036,0.7744,-1
0.62,0.75,0.3844,0.5625,-1
0.76,0.57,0.5776,0.3249,-1
-0.87,-0.14,0.7569,0.0196,-1
-0.83,-0.25,0.6889,0.0625,-1
0.91,0.39,0.8281,0.1521,-1
0.56,-0.32,0.3136,0.1024,-1
0.93,-0.19,0.8649,0.0361,-1
-0.52,0,0.2704,0,-1
-0.06,0.58,0.0036,0.3364,1
0.54,-0.49,0.2916,0.2401,-1
0.83,-0.87,0.6889,0.7569,-1
-0.76,0.9,0.5776,0.81,-1
0.86,-0.98,0.7396,0.9604,-1
0.2,-0.8,0.04,0.64,-1
-0.17,-0.89,0.0289,0.7921,-1
0.68,0.67,0.4624,0.4489,-1
-0.76,0.59,0.5776,0.3481,-1
-0.69,-0.93,0.4761,0.8649,-1
-0.33,0.01,0.1089,0.0001,-1
-0.21,-0.46,0.0441,0.2116,-1
0.03,-0.64,0.0009,0.4096,-1
0.02,-0.39,0.0004,0.1521,-1
-0.44,-0.53,0.1936,0.2809,-1
-0.03,0.68,0.0009,0.4624,1
-0.87,-0.5,0.7569,0.25,-1
-0.32,-0.82,0.1024,0.6724,-1
0.92,-0.58,0.8464,0.3364,-1
0.96,-0.27,0.9216,0.0729,-1
-0.01,0.41,0.0001,0.1681,1
0.61,-0.81,0.3721,0.6561,-1
-0.26,0.22,0.0676,0.0484,1
-1,-0.77,1,0.5929,-1
0.17,-0.2,0.0289,0.04,-1
-0.64,0.78,0.4096,0.6084,1
0.76,0.92,0.5776,0.8464,-1
0.26,-0.41,0.0676,0.1681,-1
-0.58,-0.49,0.3364,0.2401,-1
0.18,-0.53,0.0324,0.2809,-1
-1,0.47,1,0.2209,-1
0.84,0.07,0.7056,0.0049,-1
-0.79,0.82,0.6241,0.6724,-1
-0.04,0.82,0.0016,0.6724,1
-0.68,-0.01,0.4624,0.0001,-1
-0.85,0.35,0.7225,0.1225,-1
0.66,0.1,0.4356,0.01,-1
0.67,-0.65,0.4489,0.4225,-1
0.86,-0.22,0.7396,0.0484,-1
-0.53,0.97,0.2809,0.9409,1
0.82,0.98,0.6724,0.9604,-1
-0.44,0.82,0.1936,0.6724,1
0.5,-0.97,0.25,0.9409,-1
0.66,-0.01,0.4356,0.0001,-1
-0.96,0.32,0.9216,0.1024,-1
0.24,0.47,0.0576,0.2209,1
-0.8,0.12,0.64,0.0144,-1
0.08,-0.21,0.0064,0.0441,-1
-0.45,-0.35,0.2025,0.1225,-1
-0.46,0.12,0.2116,0.0144,-1
-0.01,-0.07,0.0001,0.0049,-1
-0.09,0.5,0.0081,0.25,1
0.9,0,0.81,0,-1
-0.3,-0.35,0.09,0.1225,-1
0.32,-0.3,0.1024,0.09,-1
-0.08,0.95,0.0064,0.9025,1
0.88,-0.86,0.7744,0.7396,-1
0.93,0.23,0.8649,0.0529,-1
-0.67,0.79,0.4489,0.6241,-1
0.53,-0.68,0.2809,0.4624,-1
-0.32,0.32,0.1024,0.1024,1
0.82,-0.78,0.6724,0.6084,-1
-0.24,-0.88,0.0576,0.7744,-1
0.73,-0.18,0.5329,0.0324,-1
0.7,-0.87,0.49,0.7569,-1
-0.02,0.06,0.0004,0.0036,1
0.73,-0.06,0.5329,0.0036,-1
0.59,-0.14,0.3481,0.0196,-1
-0.76,0.2,0.5776,0.04,-1
0.55,-0.28,0.3025,0.0784,-1
0.98,0.41,0.9604,0.1681,-1
0.33,0.23,0.1089,0.0529,-1
-0.83,0.99,0.6889,0.9801,-1
-0.98,0.71,0.9604,0.5041,-1
-0.47,0.41,0.2209,0.1681,-1
0.74,-0.62,0.5476,0.3844,-1
-0.11,-0.9,0.0121,0.81,-1
-0.82,0.7,0.6724,0.49,-1
-0.29,0.95,0.0841,0.9025,1
0.03,0.5,0.0009,0.25,1
0.67,0.47,0.4489,0.2209,-1
0.63,-0.2,0.3969,0.04,-1
0.81,-0.02,0.6561,0.0004,-1
-0.9,0,0.81,0,-1
0.23,0.53,0.0529,0.2809,1
-0.51,0.27,0.2601,0.0729,-1
-0.19,-0.85,0.0361,0.7225,-1
-0.93,-0.66,0.8649,0.4356,-1
-0.81,0.05,0.6561,0.0025,-1
0.51,-0.92,0.2601,0.8464,-1
0.56,0.76,0.3136,0.5776,1
0.01,0.38,0.0001,0.1444,1
0.7,0.18,0.49,0.0324,-1
-0.65,0.29,0.4225,0.0841,-1
-0.27,-0.49,0.0729,0.2401,-1
-0.49,0.01,0.2401,0.0001,-1
-0.33,0.82,0.1089,0.6724,1
-0.05,0.89,0.0025,0.7921,1
-0.08,-0.92,0.0064,0.8464,-1
-0.17,0.59,0.0289,0.3481,1
-0.76,0.15,0.5776,0.0225,-1
0.12,-0.85,0.0144,0.7225,-1
-0.2,0.85,0.04,0.7225,1
0.45,-0.8,0.2025,0.64,-1
0.11,-0.07,0.0121,0.0049,-1
-0.71,0.44,0.5041,0.1936,-1
-0.25,-0.89,0.0625,0.7921,-1
0.36,0.06,0.1296,0.0036,-1
-0.7,0.98,0.49,0.9604,1
-0.7,-0.19,0.49,0.0361,-1
-0.61,0.05,0.3721,0.0025,-1
-0.77,-0.83,0.5929,0.6889,-1
0.45,-0.03,0.2025,0.0009,-1
0.85,-0.58,0.7225,0.3364,-1
0.53,0.53,0.2809,0.2809,-1
0.73,0.83,0.5329,0.6889,-1
-0.08,-0.43,0.0064,0.1849,-1
0.95,0.94,0.9025,0.8836,-1
-0.15,-0.76,0.0225,0.5776,-1
0.84,-0.45,0.7056,0.2025,-1
-0.59,-0.05,0.3481,0.0025,-1
-0.86,0.18,0.7396,0.0324,-1
-0.98,-0.37,0.9604,0.1369,-1
0.75,-0.52,0.5625,0.2704,-1
0.68,-1,0.4624,1,-1
-0.47,0.73,0.2209,0.5329,1
-0.17,-0.35,0.0289,0.1225,-1
0.25,-0.41,0.0625,0.1681,-1
-0.28,0.45,0.0784,0.2025,1
-0.84,0.29,0.7056,0.0841,-1
-0.57,0.71,0.3249,0.5041,-1
0.75,0.85,0.5625,0.7225,-1
0.23,0.87,0.0529,0.7569,1
0.69,0.62,0.4761,0.3844,-1
-0.44,0.29,0.1936,0.0841,-1
-0.03,0.83,0.0009,0.6889,1
0.21,-0.34,0.0441,0.1156,-1
-0.99,0.91,0.9801,0.8281,-1
-0.24,-0.38,0.0576,0.1444,-1
0.76,-0.21,0.5776,0.0441,-1
0.3,0.22,0.09,0.0484,-1
0.79,-0.03,0.6241,0.0009,-1
0.46,-0.8,0.2116,0.64,-1
0.76,0.89,0.5776,0.7921,-1
-0.47,-0.55,0.2209,0.3025,-1
0.32,0.43,0.1024,0.1849,1
0.83,-0.36,0.6889,0.1296,-1
0,-0.35,0,0.1225,-1
-0.24,0.42,0.0576,0.1764,1
0.98,0.17,0.9604,0.0289,-1
-0.53,-0.54,0.2809,0.2916,-1
-0.33,-0.75,0.1089,0.5625,-1
-0.29,0.71,0.0841,0.5041,1
-0.38,0.46,0.1444,0.2116,1
-0.86,0.99,0.7396,0.9801,-1
-0.04,0.31,0.0016,0.0961,1
0.61,0.14,0.3721,0.0196,-1
-0.09,-0.87,0.0081,0.7569,-1
-0.88,-0.11,0.7744,0.0121,-1
0.97,-0.14,0.9409,0.0196,-1
-0.41,0.33,0.1681,0.1089,-1
-0.55,-1,0.3025,1,-1
0.27,-0.29,0.0729,0.0841,-1
-0.71,0.34,0.5041,0.1156,-1
0.21,0.49,0.0441,0.2401,1
-0.43,-0.55,0.1849,0.3025,-1
0.38,-0.95,0.1444,0.9025,-1
-0.19,-0.03,0.0361,0.0009,-1
-0.1,0.09,0.01,0.0081,-1
-0.6,0.06,0.36,0.0036,-1
0.08,0.65,0.0064,0.4225,1
-0.78,-0.91,0.6084,0.8281,-1
0.63,0.37,0.3969,0.1369,-1
-0.28,0.67,0.0784,0.4489,1
0.28,-0.12,0.0784,0.0144,-1
0.82,0.46,0.6724,0.2116,-1
0.67,-0.17,0.4489,0.0289,-1
-0.35,0.64,0.1225,0.4096,1
0.78,-0.46,0.6084,0.2116,-1
0.79,-0.05,0.6241,0.0025,-1
-0.35,-0.97,0.1225,0.9409,-1
-0.15,-0.75,0.0225,0.5625,-1
0.06,0.89,0.0036,0.7921,1
0.98,-0.4,0.9604,0.16,-1
-0.77,0.88,0.5929,0.7744,-1
0.99,0.7,0.9801,0.49,-1
-0.82,0.37,0.6724,0.1369,-1
-0.55,-0.98,0.3025,0.9604,-1
0.69,0.8,0.4761,0.64,-1
-0.99,0.58,0.9801,0.3364,-1
0.4,-0.77,0.16,0.5929,-1
-0.58,0.09,0.3364,0.0081,-1
0.56,-0.86,0.3136,0.7396,-1
-0.94,-0.88,0.8836,0.7744,-1
-0.77,-0.65,0.5929,0.4225,-1
0.29,-0.66,0.0841,0.4356,-1
0.79,-0.47,0.6241,0.2209,-1
0.13,-0.02,0.0169,0.0004,-1
-0.9,-0.34,0.81,0.1156,-1
0.62,-0.33,0.3844,0.1089,-1
-0.93,-0.93,0.8649,0.8649,-1
-0.44,-0.51,0.1936,0.2601,-1
0.32,-0.95,0.1024,0.9025,-1
0.95,-0.89,0.9025,0.7921,-1
0.18,-0.66,0.0324,0.4356,-1
-0.72,0.63,0.5184,0.3969,-1
0.09,0.42,0.0081,0.1764,1
0.27,-0.46,0.0729,0.2116,-1
0.47,-0.36,0.2209,0.1296,-1
0.47,-0.74,0.2209,0.5476,-1
0.05,-0.67,0.0025,0.4489,-1
-0.14,-0.1,0.0196,0.01,-1
0.77,-0.79,0.5929,0.6241,-1
-0.19,-0.85,0.0361,0.7225,-1
0.98,0.34,0.9604,0.1156,-1
0.5,0.62,0.25,0.3844,1
0.36,-0.29,0.1296,0.0841,-1
0.75,0.98,0.5625,0.9604,-1
0.12,0.44,0.0144,0.1936,1
0.15,-0.09,0.0225,0.0081,-1
0.86,0.96,0.7396,0.9216,-1
-0.36,-0.18,0.1296,0.0324,-1
0.92,-0.42,0.8464,0.1764,-1
0.25,0.39,0.0625,0.1521,1
-0.32,0.37,0.1024,0.1369,1
-0.53,-0.13,0.2809,0.0169,-1
0.89,-0.77,0.7921,0.5929,-1
